emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63,id
-0.010396002,0.017777778,0.03844675,-0.09356401,0.0002460592,-0.22889657,-0.035432525,0.37425604,0.14769705,0.07972319,0.16,-0.05173395,-0.17937717,-0.007443291,-0.2679585,0.09842368,-0.048227604,-0.09356401,-0.19986159,-0.0009842368,0.17937717,0.153787,-0.029773165,0.004982699,0.1417301,0.103406385,-0.09356401,0.0030142253,0.059115727,0.06698962,-0.07111111,0.13016532,-0.06698962,-0.055363324,0.17937717,0.048227604,-0.041584007,-0.17279507,-0.008858131,-0.22889657,-0.022206843,0.01574779,0.055363324,-0.012056901,-0.03844675,0.13588619,0.32781237,-0.24415225,0.19986159,-0.07972319,-0.075355634,0.059115727,-0.022206843,0.07972319,-0.0030142253,0.153787,0.153787,0.029773165,-0.059115727,0.07111111,-0.0009842368,-0.06299116,-0.09356401,-0.0039369473,4
0.103406385,-0.1417301,0.048227604,-0.08421376,0.0039369473,-0.059115727,-0.09356401,0.19291042,0.055363324,-0.008858131,0.0030142253,0.029773165,-0.2069358,0.035432525,0.11909266,0.055363324,-0.36472127,0.06698962,0.048227604,-0.16633603,-0.017777778,-0.11909266,0.25196463,-0.07972319,-0.044844292,-0.027128028,-0.13016532,0.11374087,-0.012056901,-0.103406385,0.11909266,0.22889657,-0.027128028,0.1417301,-0.017777778,0.01574779,-0.00615148,-0.11374087,0.055363324,-0.06698962,-0.103406385,-0.075355634,-0.13588619,0.059115727,0.0039369473,0.13588619,-0.13016532,0.055363324,-0.18608227,-0.10851211,0.13016532,-0.044844292,0.11909266,0.09356401,-0.044844292,-0.2214533,-0.2069358,0.10851211,-0.16633603,-0.21413302,0.09842368,-0.08882737,-0.1417301,-0.25196463,7
0.044844292,-0.019930797,0.103406385,0.008858131,-0.08882737,0.008858131,-0.03844675,0.12456747,-0.09356401,-0.03254133,-0.03844675,0.027128028,-0.17279507,0.027128028,0.055363324,0.1417301,-0.07111111,0.13588619,-0.16,0.13588619,-0.21413302,0.03844675,0.17279507,0.13588619,0.12456747,-0.03254133,0.22889657,-0.06698962,-0.1417301,0.2069358,-0.12456747,0.008858131,-0.27613994,-0.09842368,0.09356401,0.0030142253,-0.153787,0.13588619,0.19986159,-0.13016532,0.09842368,-0.08882737,-0.17279507,0.17937717,-0.055363324,0.2069358,-0.14769705,-0.012056901,-0.103406385,-0.03254133,0.11909266,0.14769705,0.019930797,-0.10851211,0.14769705,0.12456747,0.06698962,0.008858131,-0.19986159,-0.21413302,-0.06299116,0.13016532,0.027128028,0.16,11
-0.035432525,-0.103406385,0.029773165,-0.08421376,-0.059115727,-0.07111111,-0.18608227,0.2679585,0.17937717,0.0039369473,0.2069358,0.103406385,-0.03254133,-0.075355634,-0.27613994,0.06698962,0.2069358,-0.03844675,-0.25196463,-0.044844292,0.12456747,-0.19291042,0.153787,-0.17279507,-0.07972319,0.25196463,-0.09356401,0.013840831,0.16633603,0.103406385,0.075355634,0.09356401,0.17937717,0.055363324,-0.10851211,0.09842368,0.14769705,0.06299116,-0.059115727,0.027128028,-0.06299116,-0.055363324,-0.11374087,0.019930797,-0.029773165,0.11374087,-0.059115727,-0.12456747,-0.007443291,-0.048227604,0.1417301,-0.07972319,-0.03844675,0.05173395,0.2364629,0.06698962,-0.013840831,-0.12456747,0.03844675,-0.08421376,-0.2069358,0.19291042,-0.00153787,0.075355634,15
-0.18608227,-0.11374087,-0.153787,0.029773165,0.075355634,-0.08421376,0.08882737,0.0039369473,0.09356401,-0.11909266,0.11374087,0.007443291,-0.09842368,0.05173395,-0.07111111,0.103406385,-0.022206843,0.017777778,0.01574779,0.1417301,-0.07111111,-0.2214533,0.0022145328,0.1417301,0.13588619,-0.055363324,0.16,-0.3100961,0.017777778,0.09356401,-0.17937717,0.08421376,0.19986159,0.103406385,-0.07972319,0.29287198,-0.13588619,-0.029773165,-0.18608227,0.12456747,0.03844675,0.17937717,-0.044844292,0.059115727,-0.022206843,-0.1417301,0.08421376,-0.02460592,0.19986159,-0.19986159,-0.25196463,-0.027128028,0.103406385,-0.06698962,0.28444445,-0.010396002,-0.06299116,-0.09842368,-0.06698962,0.044844292,0.09356401,-0.029773165,0.010396002,-0.103406385,19
0.09842368,-0.041584007,-0.19986159,-0.041584007,0.055363324,0.06299116,-0.03254133,0.24415225,0.16,-0.07972319,0.027128028,0.05173395,-0.08882737,0.13016532,0.153787,0.0030142253,0.11909266,0.007443291,0.153787,-0.022206843,0.08882737,-0.18608227,0.03254133,0.16,0.19986159,0.10851211,-0.14769705,-0.09356401,0.019930797,0.007443291,0.0022145328,0.06698962,0.08421376,0.055363324,-0.05173395,-0.16633603,-0.25196463,0.17279507,0.029773165,0.017777778,-0.18608227,-0.11909266,0.14769705,-0.02460592,-0.007443291,0.19986159,-0.027128028,0.05173395,0.10851211,0.035432525,-0.017777778,-0.1417301,-0.012056901,0.14769705,0.37425604,0.17279507,-0.10851211,0.1417301,-0.11374087,-0.041584007,0.18608227,0.03844675,0.16,0.11909266,29
0.055363324,-0.16,0.08421376,-0.13016532,0.11374087,-0.03254133,0.075355634,0.1417301,-0.25990003,0.007443291,-0.041584007,-0.09842368,-0.13016532,-0.08421376,0.027128028,-0.048227604,-0.14769705,0.0039369473,0.06698962,0.027128028,0.007443291,0.08882737,0.06698962,-0.13016532,-0.03254133,0.02460592,-0.19986159,-0.048227604,0.11374087,0.12456747,-0.103406385,0.029773165,0.05173395,-0.06299116,0.048227604,0.055363324,-0.029773165,0.03254133,-0.34602076,0.075355634,-0.07972319,0.16,0.06698962,-0.22889657,-0.055363324,0.2214533,0.1417301,0.044844292,-0.041584007,-0.11909266,0.004982699,0.09842368,0.13016532,0.19986159,0.044844292,0.06299116,-0.08421376,-0.06698962,-0.3553095,0.06698962,0.2214533,-0.22889657,-0.1417301,0.027128028,31
-0.09356401,-0.08421376,-0.19986159,-0.06299116,-0.01574779,-0.18608227,0.09842368,0.25196463,0.0022145328,-0.044844292,0.29287198,-0.16633603,-0.055363324,-0.075355634,-0.2069358,0.035432525,-0.25196463,-0.041584007,-0.035432525,0.03844675,-0.010396002,0.0039369473,-0.09356401,0.041584007,0.18608227,0.17937717,0.03844675,0.004982699,0.10851211,0.05173395,-0.13588619,-0.08882737,0.055363324,0.11374087,0.10851211,0.07111111,-0.18608227,-0.10851211,-0.048227604,-0.16,-0.09842368,-0.019930797,0.10851211,-0.09356401,-0.10851211,0.075355634,0.2069358,-0.103406385,0.28444445,-0.13016532,-0.2069358,0.01574779,0.14769705,-0.0039369473,0.07972319,0.12456747,0.2069358,-0.041584007,-0.11374087,0.05173395,0.029773165,-0.13588619,0.027128028,0.05173395,33
0.027128028,0.013840831,0.13016532,0.103406385,-0.07111111,0.012056901,-0.12456747,0.11909266,-0.075355634,0.25196463,0.1417301,-0.0009842368,-0.25990003,-0.13016532,0.12456747,0.10851211,-0.06698962,-0.035432525,0.11374087,0.07972319,0.012056901,-0.25990003,-0.19986159,-0.010396002,-0.06698962,-0.08882737,0.2069358,-0.075355634,0.041584007,-0.07111111,0.055363324,-0.02460592,0.07111111,-0.09842368,-0.2364629,-0.13016532,-0.035432525,0.2364629,0.2214533,-0.075355634,0.18608227,-0.02460592,0.11374087,-0.10851211,-0.2069358,-0.022206843,-0.10851211,-0.2069358,0.029773165,-0.06698962,-0.017777778,0.048227604,0.041584007,0.027128028,0.16,-0.19291042,0.19291042,0.06698962,0.01574779,0.07972319,-0.17279507,0.07111111,-0.06698962,-0.103406385,36
0.10851211,-0.103406385,-0.06698962,-0.25196463,-0.2364629,0.0030142253,0.09356401,0.0022145328,-0.075355634,0.2069358,0.02460592,0.19986159,-0.11374087,-0.07972319,-0.06299116,0.153787,-0.10851211,-0.08882737,-0.027128028,0.044844292,-0.14769705,0.07972319,0.11909266,0.07972319,-0.05173395,0.11909266,0.00615148,0.08421376,-0.035432525,0.19291042,0.059115727,-0.09356401,0.03844675,0.013840831,0.07972319,0.044844292,0.34602076,-0.07111111,0.03844675,0.14769705,0.08882737,-0.06698962,0.16,0.11374087,-0.0002460592,-0.11374087,-0.2069358,-0.048227604,0.2214533,0.13016532,-0.12456747,-0.17279507,0.041584007,0.13588619,0.048227604,-0.03254133,0.103406385,-0.048227604,-0.28444445,0.041584007,0.11909266,-0.153787,-0.153787,0.055363324,40
