emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63,id
-0.19291042,-0.17937717,-0.18608227,-0.055363324,0.055363324,-0.13016532,0.18608227,0.019930797,0.059115727,-0.11909266,0.13588619,-0.01574779,-0.13016532,0.07111111,-0.19986159,-0.03254133,-0.19986159,0.059115727,0.05173395,0.1417301,-0.06299116,-0.055363324,-0.09356401,0.13016532,0.07972319,0.153787,0.21413302,-0.10851211,0.13588619,0.0030142253,-0.16,-0.06299116,0.022206843,0.08882737,0.08882737,0.17937717,-0.2069358,0.02460592,-0.055363324,-0.017777778,-0.07111111,-0.007443291,0.044844292,-0.010396002,-0.0009842368,-0.08421376,0.048227604,0.041584007,0.29287198,-0.25196463,-0.28444445,0.08882737,0.16,-0.13016532,0.25196463,-0.027128028,0.03254133,-0.055363324,-0.09842368,-0.07111111,0.004982699,-0.14769705,-0.044844292,0.00615148,44
-0.008858131,-0.029773165,0.14769705,0.0039369473,-0.055363324,0.07111111,0.059115727,0.06299116,-0.017777778,0.017777778,0.0039369473,0.06698962,-0.2214533,0.06299116,0.11374087,0.18608227,-0.13016532,0.2214533,-0.16633603,0.03254133,-0.16633603,0.041584007,0.103406385,0.059115727,0.13588619,-0.09356401,0.16633603,-0.08421376,-0.14769705,0.08421376,-0.017777778,0.0022145328,-0.24415225,-0.09842368,0.12456747,-0.007443291,-0.17279507,0.19291042,0.21413302,0.0022145328,0.01574779,-0.09356401,-0.24415225,0.153787,-0.07111111,0.18608227,-0.09842368,-0.010396002,-0.08421376,-0.02460592,0.17937717,0.19986159,-0.09356401,-0.13016532,0.17937717,0.06698962,0.10851211,0.02460592,-0.1417301,-0.28444445,-0.11374087,-0.012056901,-0.007443291,0.13016532,47
0.11374087,0.0030142253,0.041584007,-0.11909266,0.09356401,0.09842368,0.022206843,0.1417301,-0.21413302,-0.02460592,0.17937717,0.029773165,-0.19986159,0.0030142253,-0.017777778,-0.1417301,-0.17279507,-0.05173395,0.007443291,-0.008858131,-0.12456747,-0.017777778,-0.019930797,-0.035432525,-0.11909266,0.21413302,-0.059115727,-0.075355634,0.22889657,-0.059115727,-0.18608227,-0.1417301,0.2214533,-0.08421376,0.08421376,0.153787,0.017777778,0.029773165,-0.2069358,0.02460592,-0.0022145328,-0.027128028,0.06698962,-0.2364629,-0.07111111,0.153787,0.14769705,0.14769705,0.12456747,0.06698962,-0.007443291,0.16633603,0.2069358,-0.041584007,0.044844292,0.022206843,0.022206843,-0.1417301,-0.25196463,-0.07111111,0.075355634,-0.28444445,-0.06299116,0.13016532,97
-0.03844675,-0.017777778,0.18608227,-0.008858131,-0.103406385,0.07111111,0.044844292,0.05173395,-0.044844292,0.010396002,-0.05173395,0.03844675,-0.2069358,0.08882737,0.07972319,0.19986159,-0.09842368,0.19986159,-0.1417301,0.07972319,-0.11909266,0.06698962,0.14769705,0.08421376,0.08882737,-0.09356401,0.19986159,-0.09356401,-0.153787,0.08882737,0.0022145328,0.007443291,-0.19986159,-0.08421376,0.07972319,-0.013840831,-0.21413302,0.19291042,0.19986159,-0.010396002,0.022206843,-0.09842368,-0.24415225,0.1417301,-0.07111111,0.19986159,-0.03844675,-0.010396002,-0.09842368,-0.048227604,0.19291042,0.16,-0.1417301,-0.103406385,0.18608227,0.07111111,0.12456747,0.044844292,-0.14769705,-0.28444445,-0.153787,-0.0039369473,0.048227604,0.12456747,133
0.075355634,0.044844292,0.041584007,-0.103406385,0.019930797,-0.004982699,0.03844675,0.18608227,-0.2069358,-0.0030142253,0.18608227,0.11909266,-0.1417301,0.03844675,-0.044844292,-0.09356401,-0.22889657,0.012056901,-0.048227604,-0.008858131,-0.13588619,0.019930797,-0.01574779,-0.055363324,-0.1417301,0.1417301,-0.022206843,-0.09842368,0.10851211,-0.11374087,-0.21413302,-0.12456747,0.17937717,-0.05173395,0.03844675,0.14769705,-0.008858131,0.029773165,-0.1417301,-0.0009842368,0.004982699,0.05173395,0.013840831,-0.25196463,-0.075355634,0.18608227,0.17279507,0.13588619,0.18608227,0.048227604,0.103406385,0.2364629,0.14769705,-0.02460592,0.0009842368,0.103406385,0.03844675,-0.11909266,-0.30142254,-0.16,-0.0009842368,-0.25196463,-0.01574779,0.19291042,157
-0.01574779,-0.02460592,0.19986159,-0.044844292,-0.103406385,0.08882737,0.048227604,0.05173395,-0.027128028,0.017777778,-0.041584007,0.055363324,-0.2069358,0.10851211,0.075355634,0.19986159,-0.09356401,0.17279507,-0.153787,0.07111111,-0.14769705,0.075355634,0.14769705,0.06299116,0.08882737,-0.12456747,0.17937717,-0.059115727,-0.1417301,0.08421376,-0.012056901,0.010396002,-0.2364629,-0.075355634,0.06698962,-0.007443291,-0.2364629,0.19291042,0.17937717,-0.004982699,0.008858131,-0.07111111,-0.22889657,0.1417301,-0.08421376,0.21413302,-0.059115727,-0.029773165,-0.103406385,-0.07972319,0.19986159,0.18608227,-0.11374087,-0.1417301,0.16633603,0.075355634,0.11909266,0.044844292,-0.12456747,-0.2679585,-0.153787,-0.0030142253,0.03844675,0.10851211,163
-0.17937717,-0.16,-0.19291042,-0.13588619,0.09842368,-0.035432525,0.11374087,0.007443291,0.11374087,-0.055363324,0.1417301,0.012056901,-0.075355634,0.08882737,-0.16,0.07972319,-0.18608227,0.13588619,0.11374087,0.055363324,-0.103406385,-0.01574779,-0.06698962,0.13588619,0.075355634,-0.059115727,0.21413302,-0.13016532,0.18608227,-0.07972319,-0.12456747,0.004982699,0.08882737,0.08882737,-0.11909266,0.28444445,-0.24415225,0.00615148,0.06299116,0.103406385,0.048227604,0.044844292,-0.004982699,-0.06299116,0.0039369473,-0.21413302,0.103406385,0.06698962,0.28444445,-0.28444445,-0.1417301,0.035432525,0.11374087,-0.14769705,0.11909266,-0.048227604,-0.10851211,-0.17279507,-0.007443291,-0.06698962,0.010396002,-0.10851211,0.007443291,-0.02460592,186
-0.022206843,-0.029773165,0.2069358,-0.027128028,-0.07972319,0.07111111,0.059115727,0.03844675,-0.019930797,0.0022145328,-0.03844675,0.035432525,-0.21413302,0.103406385,0.07111111,0.17937717,-0.10851211,0.17279507,-0.14769705,0.06698962,-0.11374087,0.075355634,0.13016532,0.048227604,0.07111111,-0.12456747,0.2069358,-0.06698962,-0.14769705,0.06698962,0.029773165,0.017777778,-0.24415225,-0.06698962,0.055363324,0.008858131,-0.22889657,0.2214533,0.19291042,0.022206843,0.03254133,-0.07972319,-0.2069358,0.13588619,-0.09356401,0.2069358,-0.08882737,-0.035432525,-0.103406385,-0.08421376,0.19291042,0.19986159,-0.12456747,-0.09842368,0.16,0.08882737,0.10851211,0.041584007,-0.12456747,-0.2679585,-0.153787,0.012056901,0.013840831,0.16,280
-0.153787,-0.13588619,-0.14769705,-0.103406385,0.17279507,0.03254133,0.19986159,-0.022206843,0.044844292,0.008858131,-0.059115727,0.17279507,-0.10851211,0.1417301,-0.03254133,0.153787,-0.16,0.12456747,0.11909266,-0.09356401,-0.03844675,-0.19291042,-0.0009842368,0.18608227,0.19291042,-0.06299116,0.17937717,-0.044844292,0.11909266,-0.08421376,-0.055363324,-0.03844675,0.18608227,-0.017777778,0.041584007,0.18608227,-0.17937717,-0.153787,-0.05173395,0.22889657,0.022206843,0.01574779,-0.06299116,-0.02460592,0.041584007,-0.19986159,0.027128028,0.035432525,0.19986159,-0.19986159,-0.16,-0.01574779,-0.019930797,-0.2214533,0.2679585,-0.09356401,-0.08421376,-0.08421376,-0.12456747,-0.03844675,-0.11374087,-0.09842368,0.008858131,0.055363324,317
-0.07111111,-0.010396002,0.27613994,0.0009842368,-0.16633603,0.06698962,-0.0022145328,0.09356401,-0.11909266,-0.03844675,-0.09356401,0.019930797,-0.2069358,0.09356401,0.017777778,0.19291042,-0.09356401,0.17279507,-0.13016532,0.103406385,-0.103406385,0.0039369473,0.21413302,0.08421376,0.13588619,-0.09356401,0.21413302,-0.029773165,-0.13588619,0.041584007,-0.019930797,0.035432525,-0.19291042,-0.041584007,-0.027128028,-0.08882737,-0.19291042,0.19291042,0.25990003,-0.0039369473,0.13016532,-0.07972319,-0.14769705,0.08421376,-0.09356401,0.16,-0.06698962,-0.07111111,-0.08421376,-0.055363324,0.17279507,0.16,-0.06299116,-0.041584007,0.1417301,0.075355634,0.11374087,0.059115727,-0.14769705,-0.19291042,-0.1417301,0.12456747,0.08882737,0.19291042,322
