bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19,id
27.6,10.3,76.0,9.9,35.4,21.9,13.5,26.200000000000003,28.4,28.8,26.200000000000003,2579.0,432.0,37.0,65.0,1210.0,156.0,166.0,1210.0,1
27.8,14.8,42.0,72.5,44.900000000000006,10.1,34.800000000000004,36.1,27.5,36.8,18.2,17.0,5.0,0.0,88.0,12.0,0.0,9.0,3.0,21
29.6,15.6,57.0,33.160000000000004,42.1,14.9,27.200000000000003,30.4,26.4,33.7,24.700000000000003,160.0,76.0,0.0,164.0,143.0,0.0,16.0,0.0,23
27.6,12.3,44.0,40.17,42.6,14.8,27.8,28.700000000000003,23.4,33.4,22.700000000000003,1022.0,294.0,4.0,123.0,734.0,14.0,208.0,17.0,45
-5.7,9.2,20.0,120.13,18.9,-26.6,45.5,9.2,-15.0,10.2,-20.5,445.0,58.0,22.0,34.0,166.0,68.0,152.0,77.0,47
24.5,11.8,48.0,41.63,36.1,12.0,24.1,18.8,29.200000000000003,29.200000000000003,18.8,94.0,20.0,0.0,92.0,49.0,0.0,0.0,49.0,51
27.4,12.9,43.0,61.06,41.7,12.2,29.5,23.700000000000003,34.5,34.5,19.0,49.0,13.0,0.0,100.0,36.0,0.0,0.0,21.0,62
27.0,9.8,89.0,3.71,32.6,21.6,11.0,26.5,27.200000000000003,27.4,26.5,2211.0,337.0,96.0,41.0,872.0,310.0,417.0,872.0,67
22.200000000000003,9.7,45.0,26.84,32.1,10.8,21.3,23.4,19.9,25.1,18.1,1646.0,295.0,1.0,88.0,854.0,8.0,509.0,15.0,77
26.9,9.8,56.0,17.52,34.9,17.6,17.3,27.3,24.9,29.0,24.3,1456.0,313.0,1.0,86.0,779.0,19.0,233.0,59.0,132
25.200000000000003,13.7,68.0,20.49,34.2,14.3,19.9,26.0,22.4,27.1,22.4,105.0,39.0,0.0,132.0,61.0,1.0,42.0,1.0,137
22.3,10.0,80.0,4.04,28.4,15.9,12.5,22.3,21.8,22.6,21.6,2346.0,323.0,60.0,53.0,918.0,200.0,728.0,218.0,143
20.8,13.1,50.0,42.59,34.1,8.4,25.700000000000003,25.8,15.3,26.200000000000003,15.3,1131.0,150.0,28.0,48.0,415.0,100.0,406.0,100.0,153
8.200000000000001,11.4,25.0,117.17,30.8,-13.6,44.400000000000006,8.8,21.0,22.700000000000003,-7.4,183.0,24.0,3.0,40.0,65.0,17.0,29.0,47.0,157
-9.1,10.7,17.0,178.74,20.0,-40.1,60.1,12.5,-28.5,12.5,-33.1,520.0,92.0,12.0,64.0,248.0,42.0,248.0,49.0,162
23.8,14.1,71.0,13.23,33.6,14.0,19.6,24.4,22.1,25.3,21.9,1050.0,220.0,1.0,102.0,610.0,6.0,311.0,19.0,164
18.6,14.0,48.0,55.07,34.800000000000004,5.7,29.1,12.8,21.0,25.700000000000003,11.7,323.0,59.0,11.0,56.0,150.0,38.0,42.0,143.0,177
8.200000000000001,15.8,44.0,68.66,28.700000000000003,-7.0,35.7,0.2,16.900000000000002,17.1,-0.3,328.0,49.0,7.0,44.0,132.0,34.0,44.0,122.0,178
-10.8,7.0,16.0,123.11,10.5,-30.8,41.3,5.7,-22.3,5.7,-25.3,336.0,51.0,17.0,37.0,131.0,55.0,131.0,59.0,181
20.3,15.8,49.0,58.48,35.5,3.6,31.9,13.2,23.700000000000003,27.200000000000003,12.2,6.0,2.0,0.0,65.0,4.0,0.0,0.0,4.0,191
0.7000000000000001,13.7,38.0,74.5,20.8,-14.9,35.7,3.5,-8.3,10.5,-8.3,631.0,86.0,33.0,31.0,223.0,119.0,190.0,119.0,204
5.0,8.200000000000001,22.0,98.59,22.6,-14.3,36.9,14.2,-8.0,17.3,-8.0,1133.0,168.0,48.0,35.0,425.0,162.0,405.0,162.0,210
1.4,11.2,31.0,80.94,19.5,-16.5,36.0,-8.3,-3.3000000000000003,11.4,-9.3,501.0,55.0,19.0,26.0,155.0,77.0,147.0,137.0,215
23.700000000000003,14.7,41.0,72.36,40.400000000000006,5.300000000000001,35.1,15.6,31.1,32.1,13.6,10.0,2.0,0.0,55.0,4.0,0.0,1.0,3.0,224
12.7,16.1,38.0,85.27,34.4,-6.9,41.3,1.6,23.4,23.4,1.6,306.0,63.0,0.0,92.0,166.0,3.0,3.0,166.0,225
-3.2,13.9,38.0,79.49,14.1,-21.700000000000003,35.800000000000004,6.9,-12.4,6.9,-13.4,199.0,60.0,1.0,121.0,144.0,4.0,144.0,5.0,231
18.6,13.3,56.0,30.27,29.200000000000003,5.800000000000001,23.4,21.200000000000003,14.1,21.3,14.1,768.0,172.0,2.0,97.0,474.0,14.0,311.0,14.0,232
26.8,8.3,83.0,5.0600000000000005,32.4,22.4,10.0,26.1,27.4,27.4,26.1,2839.0,559.0,16.0,85.0,1551.0,61.0,61.0,1376.0,234
