lon,lat,label_name,dataset_name,index,geometry
-6.7162774,12.9707366,ananas,mali-helmets-labelling-crops,56031,POINT (-6.7162774 12.9707366)
-6.9377292,13.278966,ananas,mali-helmets-labelling-crops,57300,POINT (-6.9377292 13.278966)
-6.9378565,13.2820708,ananas,mali-helmets-labelling-crops,59268,POINT (-6.9378565 13.2820708)
-6.693403,12.987574,ananas,mali-helmets-labelling-crops,50712,POINT (-6.693403 12.987574)
-5.72535,11.6126217,ananas,mali-helmets-labelling-crops,6435,POINT (-5.72535 11.6126217)
-6.7151316,13.1483154,ananas,mali-helmets-labelling-crops,1807,POINT (-6.7151316 13.1483154)
-5.4683988,11.5149181,ananas,mali-helmets-labelling-crops,34846,POINT (-5.4683988 11.5149181)
-6.8327537,12.8516233,ananas,mali-helmets-labelling-crops,63524,POINT (-6.8327537 12.8516233)
-6.8441716,12.8696498,ananas,mali-helmets-labelling-crops,62669,POINT (-6.8441716 12.8696498)
-6.7840233,13.2220112,ananas,mali-helmets-labelling-crops,59233,POINT (-6.7840233 13.2220112)
34.26402,0.584787,ananas,kenya,1508,POINT (34.26402 0.584787)
-6.8453727,12.8694896,ananas,mali-helmets-labelling-crops,62698,POINT (-6.8453727 12.8694896)
-6.8349747,12.8574114,ananas,mali-helmets-labelling-crops,62966,POINT (-6.8349747 12.8574114)
-6.6982239,12.9885665,ananas,mali-helmets-labelling-crops,50605,POINT (-6.6982239 12.9885665)
-6.9378703,13.280569,ananas,mali-helmets-labelling-crops,57786,POINT (-6.9378703 13.280569)
-6.650237102906321,13.279242365999377,ananas,mali,70201,POINT (-6.650237102906321 13.279242365999377)
-5.5106723,11.4874911,ananas,mali-helmets-labelling-crops,4393,POINT (-5.5106723 11.4874911)
-6.8638153,12.8604657,ananas,mali-helmets-labelling-crops,13101,POINT (-6.8638153 12.8604657)
-6.9392798,13.2793536,ananas,mali-helmets-labelling-crops,57970,POINT (-6.9392798 13.2793536)
-6.8464593,12.8753007,ananas,mali-helmets-labelling-crops,26150,POINT (-6.8464593 12.8753007)
34.251,0.589045,ananas,kenya,69468,POINT (34.251 0.589045)
34.34851,0.709234,ananas,kenya,39105,POINT (34.34851 0.709234)
-6.7113691,12.960286,ananas,mali-helmets-labelling-crops,49940,POINT (-6.7113691 12.960286)
-6.6998698,12.9889109,ananas,mali-helmets-labelling-crops,50551,POINT (-6.6998698 12.9889109)
-6.714965986754775,13.301791171514054,ananas,mali,2588,POINT (-6.714965986754775 13.301791171514054)
-6.8383179,12.8818632,ananas,mali-helmets-labelling-crops,63372,POINT (-6.8383179 12.8818632)
-6.8457586,13.3413616,ananas,mali-helmets-labelling-crops,62213,POINT (-6.8457586 13.3413616)
-6.7126045,12.9540085,ananas,mali-helmets-labelling-crops,50066,POINT (-6.7126045 12.9540085)
-6.8444821,12.8805332,ananas,mali-helmets-labelling-crops,61703,POINT (-6.8444821 12.8805332)
-6.9454453,13.2820526,ananas,mali-helmets-labelling-crops,60957,POINT (-6.9454453 13.2820526)
34.25032,0.585822,ananas,kenya,68978,POINT (34.25032 0.585822)
-6.7095887,13.1592598,ananas,mali-helmets-labelling-crops,322,POINT (-6.7095887 13.1592598)
-5.8110238,11.5320513,ananas,mali-helmets-labelling-crops,9848,POINT (-5.8110238 11.5320513)
-6.9461132,13.2790028,ananas,mali-helmets-labelling-crops,60124,POINT (-6.9461132 13.2790028)
-6.9396082,13.2751852,ananas,mali-helmets-labelling-crops,59770,POINT (-6.9396082 13.2751852)
-5.4998043,11.4541627,ananas,mali-helmets-labelling-crops,6900,POINT (-5.4998043 11.4541627)
-6.9428636,13.2797738,ananas,mali-helmets-labelling-crops,60731,POINT (-6.9428636 13.2797738)
-6.649873586101596,12.823175772913356,ananas,mali,11605,POINT (-6.649873586101596 12.823175772913356)
-6.833807,12.875734,ananas,mali-helmets-labelling-crops,23888,POINT (-6.833807 12.875734)
-6.9411668,13.2753653,ananas,mali-helmets-labelling-crops,59856,POINT (-6.9411668 13.2753653)
-5.498763,11.4944925,ananas,mali-helmets-labelling-crops,31957,POINT (-5.498763 11.4944925)
-6.706213,13.1872808,ananas,mali-helmets-labelling-crops,69677,POINT (-6.706213 13.1872808)
-5.4729019,11.5006611,ananas,mali-helmets-labelling-crops,33746,POINT (-5.4729019 11.5006611)
-6.858852,12.8662312,ananas,mali-helmets-labelling-crops,16142,POINT (-6.858852 12.8662312)
-6.859712,12.8545368,ananas,mali-helmets-labelling-crops,20929,POINT (-6.859712 12.8545368)
-6.7898041,13.232612,ananas,mali-helmets-labelling-crops,37155,POINT (-6.7898041 13.232612)
-6.8314492,12.885133,ananas,mali-helmets-labelling-crops,14211,POINT (-6.8314492 12.885133)
-6.9348341,13.2779768,ananas,mali-helmets-labelling-crops,56450,POINT (-6.9348341 13.2779768)
-6.8507753,13.341585,ananas,mali-helmets-labelling-crops,62156,POINT (-6.8507753 13.341585)
-6.8606512,12.8636448,ananas,mali-helmets-labelling-crops,17459,POINT (-6.8606512 12.8636448)
-5.7136028,11.5878492,ananas,mali-helmets-labelling-crops,2233,POINT (-5.7136028 11.5878492)
-6.806623753251809,12.92980270607443,ananas,mali,54705,POINT (-6.806623753251809 12.92980270607443)
-6.718018,12.9471594,ananas,mali-helmets-labelling-crops,52192,POINT (-6.718018 12.9471594)
-5.4699467,11.5141963,ananas,mali-helmets-labelling-crops,34964,POINT (-5.4699467 11.5141963)
-6.850123374170339,13.065356800924455,ananas,mali,7193,POINT (-6.850123374170339 13.065356800924455)
-6.9409958,13.2796193,ananas,mali-helmets-labelling-crops,58221,POINT (-6.9409958 13.2796193)
-6.9446704,13.2816973,ananas,mali-helmets-labelling-crops,60915,POINT (-6.9446704 13.2816973)
-6.8460429,12.8699863,ananas,mali-helmets-labelling-crops,62720,POINT (-6.8460429 12.8699863)
-5.486993,11.4787813,ananas,mali-helmets-labelling-crops,921,POINT (-5.486993 11.4787813)
-6.842144,13.3416045,ananas,mali-helmets-labelling-crops,62315,POINT (-6.842144 13.3416045)
-6.8589164,13.3398889,ananas,mali-helmets-labelling-crops,61920,POINT (-6.8589164 13.3398889)
-6.7885299,13.2313021,ananas,mali-helmets-labelling-crops,34350,POINT (-6.7885299 13.2313021)
-6.8362392,12.8602611,ananas,mali-helmets-labelling-crops,63126,POINT (-6.8362392 12.8602611)
-5.5168624,11.5398071,ananas,mali-helmets-labelling-crops,33108,POINT (-5.5168624 11.5398071)
-6.9453025,13.2754363,ananas,mali-helmets-labelling-crops,60567,POINT (-6.9453025 13.2754363)
-6.7900892,13.2349603,ananas,mali-helmets-labelling-crops,58257,POINT (-6.7900892 13.2349603)
-6.651139511248158,13.313740581798047,ananas,mali,38702,POINT (-6.651139511248158 13.313740581798047)
-6.7891896,13.2245089,ananas,mali-helmets-labelling-crops,56288,POINT (-6.7891896 13.2245089)
-6.806558915665378,12.92981246409628,ananas,mali,6984,POINT (-6.806558915665378 12.92981246409628)
-6.9400606,13.2781959,ananas,mali-helmets-labelling-crops,60692,POINT (-6.9400606 13.2781959)
-5.8034889,11.5326488,ananas,mali-helmets-labelling-crops,9928,POINT (-5.8034889 11.5326488)
-6.7119358,13.1901894,ananas,mali-helmets-labelling-crops,67443,POINT (-6.7119358 13.1901894)
-6.7040985,13.1948678,ananas,mali-helmets-labelling-crops,8029,POINT (-6.7040985 13.1948678)
-6.6229762,13.3573187,ananas,mali-helmets-labelling-crops,47978,POINT (-6.6229762 13.3573187)
-6.7189544,12.9557015,ananas,mali-helmets-labelling-crops,52069,POINT (-6.7189544 12.9557015)
-6.7910603,13.2305013,ananas,mali-helmets-labelling-crops,55767,POINT (-6.7910603 13.2305013)
-5.4680009,11.470281,ananas,mali-helmets-labelling-crops,67368,POINT (-5.4680009 11.470281)
-6.9404629,13.283169,ananas,mali-helmets-labelling-crops,59062,POINT (-6.9404629 13.283169)
-5.4880213,11.4788731,ananas,mali-helmets-labelling-crops,64986,POINT (-5.4880213 11.4788731)
-6.607387,13.3586723,ananas,mali-helmets-labelling-crops,46287,POINT (-6.607387 13.3586723)
-6.8325583,12.8865729,ananas,mali-helmets-labelling-crops,14568,POINT (-6.8325583 12.8865729)
-6.609485,13.3709567,ananas,mali-helmets-labelling-crops,47378,POINT (-6.609485 13.3709567)
-6.850123374170339,13.065356800924455,ananas,mali,56877,POINT (-6.850123374170339 13.065356800924455)
-6.8453885,12.8686205,ananas,mali-helmets-labelling-crops,22335,POINT (-6.8453885 12.8686205)
-5.725262,11.6136149,ananas,mali-helmets-labelling-crops,6332,POINT (-5.725262 11.6136149)
-5.7252841,11.6136507,ananas,mali-helmets-labelling-crops,6387,POINT (-5.7252841 11.6136507)
-5.8040144,11.5344199,ananas,mali-helmets-labelling-crops,9804,POINT (-5.8040144 11.5344199)
-6.714959383602418,13.30192949046153,ananas,mali,3231,POINT (-6.714959383602418 13.30192949046153)
-6.811093069604328,12.918905781692963,ananas,mali,5810,POINT (-6.811093069604328 12.918905781692963)
-6.7914288,13.2242902,ananas,mali-helmets-labelling-crops,56200,POINT (-6.7914288 13.2242902)
-6.8536966020715875,13.332577126684471,ananas,mali,614,POINT (-6.8536966020715875 13.332577126684471)
-6.7178043,12.9458545,ananas,mali-helmets-labelling-crops,52297,POINT (-6.7178043 12.9458545)
-6.7113239,12.9699921,ananas,mali-helmets-labelling-crops,51446,POINT (-6.7113239 12.9699921)
-6.8339984,12.8765568,ananas,mali-helmets-labelling-crops,24064,POINT (-6.8339984 12.8765568)
-6.715743949364557,13.190012459740004,ananas,mali,61705,POINT (-6.715743949364557 13.190012459740004)
