total_population,pop_density,maxdist_road,meandist_road,id
0,0,50000,50000,14
7519,4615,2153,1295,27
1733,1063,1926,1101,37
10300,6322,643,115,43
465,285,1433,742,45
0,0,5782,4985,74
82,50,2065,1184,84
23,14,1541,1006,104
392,241,2641,1983,113
1,0,1384,581,116
11271,6917,818,327,125
1,0,1248,615,131
0,0,21524,20899,138
173,106,1568,957,146
0,0,1148,487,153
0,0,7212,6366,194
3,2,3932,3174,211
238,146,595,207,222
1,0,1878,1088,228
3,2,10559,9712,234
11,6,2929,2172,261
0,0,50000,50000,263
2,1,4579,3783,287
0,0,9929,9162,289
17,10,4964,4092,293
0,0,40554,39823,299
0,0,50000,50000,301
4237,2600,984,372,306
0,0,13372,12534,307
0,0,50000,50000,345
0,0,50000,50000,351
2,1,2521,1769,385
0,0,6862,5993,386
0,0,50000,50000,392
0,0,50000,50000,393
368,226,289,54,395
22,13,1525,947,400
3306,2029,1179,457,419
1,0,28087,27220,423
0,0,9199,8570,447
816,501,234,46,452
0,0,50000,50000,454
67,41,20449,19786,464
1,0,43288,42520,465
96,59,987,387,469
0,0,50000,50000,483
2,1,1917,1113,488
209,128,3681,2934,499
11,6,1783,1004,500
1056,648,1826,996,506
3,2,4548,4117,517
0,0,6806,6085,525
5,3,4128,3442,529
0,0,50000,50000,533
0,0,50000,50000,539
1,0,9284,8435,588
1735,1065,1288,493,593
0,0,50000,50000,604
499,306,1395,628,606
48,29,8389,7572,611
0,0,50000,50000,619
0,0,18778,17991,637
0,0,24704,24055,639
2583,1585,508,167,644
0,0,7772,7021,647
0,0,2601,1904,658
0,0,50000,50000,662
0,0,50000,50000,677
3,2,2013,1373,682
384,236,790,285,687
0,0,5049,4470,698
0,0,32228,31446,702
1347,827,649,234,706
70,43,740,325,709
2091,1283,775,248,712
0,0,19378,18509,722
3,1,5200,4425,724
43,26,3160,2502,729
0,0,5675,5006,734
7,4,9356,8919,745
0,0,50000,50000,755
0,0,50000,50000,766
8,5,1755,1103,768
0,0,50000,50000,769
0,0,49984,49391,770
3,2,1597,898,774
100,61,5066,4309,826
0,0,50000,50000,827
5,3,721,317,832
0,0,4317,3695,839
0,0,6589,5700,871
67,41,2648,1874,893
1,0,21791,20907,897
0,0,50000,50000,899
2,1,1032,404,902
10,6,3291,2541,928
5379,3301,714,262,930
80,49,5796,4965,934
0,0,1460,796,960
0,0,2271,1443,981
0,0,8600,7964,986
0,0,50000,50000,996
0,0,16001,15230,1031
1,0,13149,12296,1035
0,0,1587,939,1047
0,0,50000,50000,1048
0,0,4713,3987,1054
63,38,1684,820,1061
124,76,3621,2974,1062
0,0,50000,50000,1074
32,20,4363,3534,1088
0,0,12038,11411,1091
0,0,711,274,1126
0,0,20223,19370,1133
0,0,39524,38653,1134
3,1,1805,1095,1135
63,38,7825,7007,1151
0,0,50000,50000,1152
17647,10830,977,285,1160
0,0,9493,8625,1181
0,0,23321,22487,1197
0,0,50000,50000,1211
0,0,50000,50000,1214
70,43,13701,12823,1235
141,87,1375,720,1237
2,1,7240,6590,1238
397,243,1919,1073,1254
0,0,50000,50000,1263
0,0,10748,9920,1287
0,0,16968,16286,1289
3,2,1470,671,1292
0,0,50000,50000,1297
7,4,2523,1690,1323
15,9,2976,2198,1342
10,6,2174,1299,1344
0,0,50000,50000,1347
2,1,3071,2193,1359
456,280,982,363,1385
0,0,16739,15976,1391
0,0,27185,26300,1419
0,0,50000,50000,1437
124,76,1788,913,1440
3,2,2680,1868,1441
1,0,3735,2965,1452
2,1,3120,2369,1465
11,6,1646,868,1478
0,0,4218,3373,1485
0,0,35540,34660,1486
105,65,1930,1062,1508
5,3,869,294,1530
0,0,21094,20249,1549
0,0,50000,50000,1562
2,1,1985,1262,1570
0,0,6748,5934,1572
860,527,934,306,1574
0,0,5762,5075,1591
1216,746,2684,1909,1600
1026,630,857,320,1610
4,2,3570,2941,1614
0,0,14792,13937,1631
7,4,7950,7080,1634
31,19,41665,40846,1647
0,0,1430,756,1650
7616,4674,1377,662,1667
1,0,6022,5149,1688
226,139,3870,3009,1728
10,6,19471,18637,1733
408,250,1974,1087,1754
134,82,3761,3055,1763
597,366,3536,2653,1774
0,0,27436,26585,1778
2,1,2340,1489,1780
162,99,11047,10220,1807
0,0,22582,21710,1814
12,7,3508,2667,1828
0,0,50000,50000,1829
5,3,6611,5758,1838
1,0,1929,1044,1845
20,12,1712,844,1872
0,0,12024,11128,1894
0,0,26185,25466,1912
426,261,789,287,1921
7,4,11242,10531,1933
0,0,12706,11970,1934
0,0,21706,20863,1946
400,246,1061,374,1957
3318,2036,148,28,1966
1,0,1220,580,1972
0,0,2388,1712,1989
57,35,5775,4998,2002
0,0,6239,5381,2017
66,40,1714,842,2032
812,498,1948,1323,2039
1,1,14012,13159,2064
8,5,3677,2803,2082
100,61,951,345,2093
0,0,50000,50000,2095
54,33,1126,431,2098
0,0,11567,10688,2101
120,74,4420,3551,2132
132,81,709,309,2133
91,55,5245,4596,2137
122,74,847,319,2141
2,1,19722,19205,2162
0,0,30340,29681,2163
0,0,50000,50000,2166
0,0,32298,31520,2182
0,0,17917,17283,2184
891,546,1078,282,2207
24,14,6875,6174,2212
0,0,7445,6746,2220
1,0,5477,4650,2230
0,0,33319,32613,2235
1,0,4281,3423,2240
8,5,3147,2319,2249
0,0,50000,50000,2259
657,403,722,162,2279
4,2,6855,6052,2282
1901,1167,937,520,2301
3,1,16248,15477,2304
6,3,1684,996,2316
137,84,836,231,2317
1903,1168,383,57,2360
32,19,2767,2067,2367
175,107,950,278,2368
0,0,4643,4026,2375
0,0,40930,40085,2378
1,1,6495,5806,2392
702,430,262,66,2405
0,0,3722,2796,2414
591,363,1193,514,2420
9,5,22203,21521,2441
0,0,50000,50000,2445
0,0,4691,3825,2454
0,0,11986,11141,2465
220,135,2403,1690,2469
7,4,1220,544,2491
2623,1610,238,46,2498
0,0,50000,50000,2525
0,0,50000,50000,2526
0,0,29365,28564,2527
1,0,2414,1536,2550
0,0,41528,40694,2551
0,0,4018,3302,2570
50,30,778,375,2579
84,51,11397,10524,2594
9,5,1800,1285,2602
3,1,2239,1392,2612
910,558,1622,991,2615
111,68,833,238,2616
0,0,50000,50000,2627
252,154,520,176,2628
0,0,50000,50000,2631
29,18,3896,3054,2650
0,0,50000,50000,2662
80,49,7795,6966,2672
0,0,2925,2290,2675
62,38,797,238,2697
4,2,3427,2569,2709
0,0,16505,15917,2715
0,0,7076,6303,2718
22,14,1345,503,2721
97,60,3319,2603,2730
0,0,6251,5554,2734
2414,1482,1077,296,2739
0,0,50000,50000,2757
0,0,17614,16767,2758
0,0,50000,50000,2767
2768,1699,358,101,2768
352,216,364,103,2770
28,17,5626,4769,2772
36,22,9856,9090,2778
0,0,5659,4927,2785
6,4,10728,9953,2791
0,0,4853,4142,2802
0,0,2920,2202,2812
400,245,1127,402,2815
10,6,2059,1390,2835
1716,1053,342,81,2845
0,0,2814,1974,2846
941,577,1086,323,2851
48,29,7504,6853,2856
0,0,4318,3459,2870
0,0,41956,41083,2871
0,0,50000,50000,2878
588,360,1036,315,2893
1822,1118,756,250,2897
40,24,5349,4502,2912
43,26,2000,1281,2957
100,61,9270,8527,2967
2,1,1721,957,2985
883,542,10712,9873,2990
0,0,50000,50000,2991
605,371,251,45,2993
52,32,4782,3909,3000
0,0,50000,50000,3005
0,0,50000,50000,3018
0,0,24723,23835,3019
0,0,1245,636,3028
12,7,498,200,3032
19,11,1219,571,3045
0,0,21126,20289,3062
15,9,4753,4058,3084
0,0,1104,324,3094
0,0,50000,50000,3100
6,3,6572,5702,3104
5918,3632,941,296,3106
0,0,3421,2665,3113
0,0,9040,8326,3126
39,24,2725,2166,3128
0,0,4972,4193,3134
0,0,12596,11842,3153
0,0,4717,3998,3166
338,207,795,223,3177
2,1,6128,5271,3206
0,0,5378,4584,3214
0,0,29805,29157,3220
269,165,2729,2030,3226
208,127,1167,417,3233
0,0,2488,1649,3239
1857,1140,694,312,3241
58,35,1186,543,3243
1,1,50000,50000,3244
41,25,2999,2329,3264
0,0,9041,8209,3267
2189,1343,1107,474,3277
0,0,2751,1867,3306
1431,878,1450,644,3316
266,163,780,264,3352
853,524,783,189,3356
70,43,1726,886,3357
1,0,2817,2135,3359
0,0,24343,23534,3372
0,0,11887,11215,3388
0,0,50000,50000,3428
1497,918,761,215,3432
0,0,23046,22171,3440
15,9,9060,8388,3441
78,48,800,306,3442
0,0,50000,50000,3443
0,0,2613,1854,3449
58,36,3132,2291,3475
5,3,2869,2236,3476
0,0,50000,50000,3478
0,0,30962,30105,3481
2,1,34622,33786,3495
413,253,1010,404,3496
0,0,7268,6417,3522
0,0,17912,17052,3526
12,7,1441,661,3529
0,0,50000,50000,3568
4,2,10565,9701,3582
5,3,3935,3297,3589
37,22,1007,343,3597
0,0,50000,50000,3599
19,12,3770,3079,3600
5,3,4150,3539,3609
29,18,1681,987,3614
0,0,50000,50000,3657
0,0,2787,1963,3658
1,0,1311,499,3660
2,1,27509,26740,3693
71,43,48051,47376,3721
3424,2101,1382,813,3724
750,460,598,134,3729
36,22,3232,2352,3758
1439,883,890,332,3808
0,0,50000,50000,3814
0,0,21171,20293,3830
193,118,6791,6098,3835
6,4,15783,14943,3837
2,1,6339,5507,3840
0,0,32672,31795,3845
9,5,7432,6609,3855
2390,1467,1053,401,3859
0,0,11129,10321,3864
1,0,13013,12334,3866
15,9,7791,6918,3875
79,48,868,315,3877
0,0,2771,1908,3904
0,0,48886,48008,3918
0,0,10349,9711,3924
0,0,50000,50000,3934
287,176,5899,5206,3935
91,56,3274,2403,3948
361,221,2260,1497,3950
16,10,14830,14041,3960
34,20,3594,2874,3968
0,0,50000,50000,3970
0,0,2388,1565,3973
100,61,2312,1512,3976
10,6,6874,6147,3988
2,1,4870,4205,3990
0,0,50000,50000,3992
0,0,8893,8222,4001
2,1,1382,663,4017
42,26,6838,5973,4044
7,4,5049,4329,4051
0,0,45764,44901,4062
0,0,50000,50000,4066
4,2,2668,2033,4068
840,516,2228,1620,4069
0,0,50000,50000,4075
1,1,10322,9536,4079
2,1,28282,27414,4088
0,0,5495,4810,4101
3,1,1343,570,4103
0,0,50000,50000,4110
93,57,10743,9845,4113
13,8,10632,9783,4127
7,4,1202,457,4133
1,0,3161,2539,4135
2,1,13337,12571,4150
0,0,50000,50000,4179
0,0,50000,50000,4197
18,11,1595,711,4224
12,7,7845,7076,4227
926,568,1112,412,4229
0,0,2603,1736,4235
504,309,3474,2609,4236
0,0,50000,50000,4258
13,8,8028,7152,4269
60,36,1276,613,4271
11360,6972,109,24,4272
0,0,6572,5885,4305
0,0,6789,6047,4314
6,3,30766,30064,4338
0,0,50000,50000,4341
0,0,50000,50000,4352
72,44,601,185,4365
2,1,1937,1246,4366
46,28,3415,2784,4385
0,0,12446,11759,4387
71,44,5621,4845,4391
396,243,1725,931,4393
0,0,11707,11021,4399
1,0,9288,8654,4406
0,0,50000,50000,4426
0,0,50000,50000,4429
367,225,749,311,4446
1932,1185,1260,525,4470
0,0,32695,31969,4482
2,1,2163,1528,4488
34,20,410,137,4494
355,218,914,304,4521
0,0,50000,50000,4535
474,291,927,312,4552
0,0,3796,2906,4562
155,95,2655,2045,4568
0,0,50000,50000,4576
1,1,4364,3730,4579
0,0,50000,50000,4581
0,0,11887,11198,4589
312,192,1673,1038,4610
0,0,50000,50000,4620
4,2,4790,4113,4642
124,76,1907,1497,4656
361,221,1173,516,4671
71,44,3304,2436,4684
0,0,1401,776,4705
3,2,3215,2375,4710
0,0,2902,2037,4717
347,213,1424,621,4727
7,4,2578,1768,4728
0,0,1485,742,4738
0,0,6800,6046,4740
3,2,1077,355,4748
4,3,4510,3635,4749
0,0,50000,50000,4772
244,150,781,319,4779
0,0,22435,21788,4792
1979,1214,465,114,4796
0,0,9598,8725,4815
1,0,6373,5612,4831
557,342,4265,3586,4839
2,1,3531,2755,4841
0,0,50000,50000,4849
1837,1127,1082,623,4872
2447,1501,638,123,4912
5,3,11185,10324,4919
0,0,1386,540,4922
1,0,880,329,4930
445,273,1374,567,4934
3009,1847,437,108,4948
19,11,4487,3810,4975
256,157,975,370,4981
0,0,50000,50000,4989
11861,7279,1276,622,5013
279,171,1989,1574,5025
0,0,44637,43943,5030
764,469,673,243,5041
52,32,1473,590,5075
92,56,12150,11337,5077
33,20,1675,993,5088
0,0,20794,20041,5109
0,0,8507,7787,5113
0,0,50000,50000,5125
21,13,9251,8531,5128
0,0,50000,50000,5134
0,0,774,314,5147
8,5,6076,5453,5151
7,4,11587,10812,5161
0,0,50000,50000,5168
5,3,1871,1229,5173
0,0,50000,50000,5179
2099,1288,931,306,5180
3,1,2590,1837,5188
1250,767,1321,663,5201
0,0,1301,670,5208
1,0,33187,32369,5217
11,7,2665,1891,5218
18,11,468,213,5233
1091,669,882,280,5234
3,1,2619,1948,5242
0,0,6396,5703,5252
0,0,4548,3671,5260
0,0,45307,44657,5271
303,186,1770,1238,5283
0,0,14419,13578,5298
17,10,10269,9399,5310
0,0,4388,3593,5316
0,0,25247,24571,5317
0,0,50000,50000,5319
3,2,1372,570,5321
0,0,8825,7951,5365
2231,1369,1624,1082,5372
996,611,2084,1412,5383
65,40,41466,40608,5385
875,537,393,88,5387
146,89,3971,3339,5390
169,104,2241,1385,5396
0,0,50000,50000,5399
82,50,4334,3531,5403
46,28,1713,887,5415
1,0,5936,5060,5421
1634,1003,376,127,5430
38,23,3028,2276,5444
142,87,5284,4423,5448
0,0,1302,662,5455
0,0,33159,32338,5459
0,0,21783,20970,5493
437,268,908,329,5503
0,0,50000,50000,5505
1,0,5474,4645,5518
0,0,50000,50000,5526
2,1,3391,2520,5539
11,7,7667,6961,5556
0,0,50000,50000,5576
34,21,6039,5158,5583
22,14,17938,17094,5584
122,74,936,373,5585
0,0,50000,50000,5602
247,152,3136,2458,5614
0,0,50000,50000,5672
0,0,16378,15611,5683
118,72,926,317,5695
2,1,1051,338,5705
8,5,19996,19359,5714
13,8,959,306,5755
0,0,50000,50000,5758
0,0,50000,50000,5762
0,0,1372,727,5767
0,0,3485,2850,5773
0,0,18824,17971,5782
1023,628,1709,821,5785
1,0,768,231,5798
19,12,7701,7017,5802
0,0,50000,50000,5804
34,21,15381,14679,5809
1229,754,1869,1109,5810
11,6,12655,11816,5850
9,6,1438,644,5851
0,0,34479,33830,5867
1,0,15537,14678,5873
6,3,6038,5366,5878
0,0,50000,50000,5889
0,0,50000,50000,5900
2,1,1080,365,5913
3,2,2017,1181,5920
0,0,3946,3151,5922
638,391,5662,4785,5924
0,0,14998,14275,5952
2,1,1073,340,5957
0,0,3279,2617,5963
1,1,523,157,6014
5,3,5356,4713,6023
0,0,3899,3241,6026
23,14,2942,2170,6029
0,0,10230,9406,6031
202,124,425,93,6058
70,43,2640,1773,6067
1,0,1313,475,6097
136,84,1432,715,6105
570,350,374,133,6109
552,339,1011,280,6114
564,346,1204,379,6163
90,55,1806,1048,6191
497,305,406,119,6206
6181,3793,168,33,6239
0,0,50000,50000,6240
0,0,4437,3778,6244
0,0,50000,50000,6245
0,0,50000,50000,6259
0,0,6170,5474,6261
1,1,10972,10196,6272
478,293,2699,2027,6279
4,2,3773,2967,6283
991,608,685,320,6303
6,4,4332,3451,6307
26,16,605,190,6313
0,0,15633,14937,6328
901,553,1830,1464,6346
