total_population,pop_density,maxdist_road,meandist_road,id
1,0,32375,31546,1
0,0,5895,5069,21
3,2,24146,23437,23
465,285,1433,742,45
0,0,10546,9640,47
0,0,3014,2344,51
2,1,18740,17871,62
0,0,50000,50000,67
45,27,4740,3873,77
3,2,9706,9257,132
17,10,892,326,137
1143,701,777,275,143
0,0,1148,487,153
0,0,30027,29187,157
0,0,44166,43283,162
8,5,2256,1622,164
0,0,1764,1127,177
0,0,2961,2163,178
0,0,50000,50000,181
0,0,12073,11207,191
0,0,10214,9405,204
3,2,6519,5703,210
0,0,6364,5596,215
0,0,9320,8501,224
19,12,22007,21134,225
0,0,8547,7804,231
17,10,2380,1681,232
3,2,10559,9712,234
0,0,5970,5190,291
71,43,805,307,295
124,76,3172,2366,296
0,0,40554,39823,299
0,0,25547,24667,305
0,0,13372,12534,307
0,0,28438,27721,311
9,6,5873,5160,313
13,8,3726,2908,336
0,0,20047,19398,348
0,0,1305,503,358
0,0,50000,50000,371
0,0,26281,25583,382
0,0,15268,14429,388
47,29,12155,11400,397
14,9,11539,10654,427
5,3,2309,1612,468
0,0,50000,50000,474
0,0,880,302,477
145,89,1584,715,486
44,27,10044,9200,494
0,0,17499,16609,508
3,2,4548,4117,517
77,47,1172,503,521
11,6,1571,697,528
0,0,50000,50000,533
28,17,976,310,547
0,0,49137,48330,567
0,0,28275,27629,573
0,0,45316,44450,584
48,29,8389,7572,611
0,0,50000,50000,619
0,0,998,639,627
0,0,20202,19316,655
0,0,16172,15494,657
0,0,50000,50000,675
3,2,2013,1373,682
0,0,17240,16370,689
0,0,42135,41256,723
104,64,1028,328,743
0,0,50000,50000,769
0,0,49984,49391,770
0,0,10666,9888,780
21,13,5501,4630,794
92,56,6041,5204,837
5,3,1183,525,846
125,76,2023,1616,859
975,598,977,585,861
1,0,13213,12355,865
38,23,13030,12270,873
0,0,9913,9026,882
0,0,35127,34463,886
42,25,11398,10563,927
0,0,10233,9458,954
39,24,1011,387,966
58,35,911,307,969
0,0,50000,50000,974
452,277,763,248,976
0,0,5823,4951,980
1,0,1274,493,988
0,0,10364,9541,1010
4,2,11937,11046,1027
224,137,969,374,1028
1,0,3186,2546,1064
2,1,1880,1134,1073
0,0,50000,50000,1075
9,5,8749,8066,1077
0,0,50000,50000,1085
3,2,3937,3102,1087
0,0,16954,16118,1097
0,0,50000,50000,1122
0,0,50000,50000,1149
0,0,50000,50000,1152
0,0,50000,50000,1161
4,3,8376,7611,1169
0,0,15154,14308,1191
0,0,25443,24576,1202
0,0,50000,50000,1214
69,42,10662,9893,1221
0,0,3431,2633,1222
0,0,2028,1186,1230
70,43,13701,12823,1235
